slug;titel;bereich;grad;reihenfolge;dauer
hanbon-kyorugi-01;"Einschrittkampf 1";"Hanbon Kyorugi";"Alle Grade";1;10
hanbon-kyorugi-02;"Einschrittkampf 2";"Hanbon Kyorugi";"Alle Grade";2;9
hanbon-kyorugi-03;"Einschrittkampf 3";"Hanbon Kyorugi";"Alle Grade";3;11
hanbon-kyorugi-04;"Einschrittkampf 4";"Hanbon Kyorugi";"Alle Grade";4;11
hanbon-kyorugi-05;"Einschrittkampf 5";"Hanbon Kyorugi";"Alle Grade";5;10
hanbon-kyorugi-06;"Einschrittkampf 6";"Hanbon Kyorugi";"Alle Grade";6;10
hanbon-kyorugi-07;"Einschrittkampf 7";"Hanbon Kyorugi";"Alle Grade";7;8
hanbon-kyorugi-08;"Einschrittkampf 8";"Hanbon Kyorugi";"Alle Grade";8;14
hanbon-kyorugi-09;"Einschrittkampf 9";"Hanbon Kyorugi";"Alle Grade";9;11
hanbon-kyorugi-10;"Einschrittkampf 10";"Hanbon Kyorugi";"Alle Grade";10;10
hanbon-kyorugi-11;"Einschrittkampf 11";"Hanbon Kyorugi";"Alle Grade";11;9
hanbon-kyorugi-12;"Einschrittkampf 12";"Hanbon Kyorugi";"Alle Grade";12;13
hanbon-kyorugi-13;"Einschrittkampf 13";"Hanbon Kyorugi";"Alle Grade";13;8
